sourceId,targetId
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|SPLIT_ACCT_IN_PAYER_EV_TYP_CODE
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|SPLIT_ACCT_IN_PLAN_EV_TYP_CODE
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|SPLIT_ACCT_OUT_FIN_CL_EV_TYP_CODE
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|SPLIT_ACCT_OUT_PAYER_EV_TYP_CODE
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|SPLIT_ACCT_OUT_PLAN_EV_TYP_CODE
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|SPLIT_ACCT_PRIMARY_PAYER_ID
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|SPLIT_ACCT_PRIMARY_PLAN_ID
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|SPLIT_ACCT_TO_FIN_CLASS_CODE
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|SPLIT_ACCT_TO_PAYER_ID
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|SPLIT_ACCT_TO_PLAN_ID
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|STATUS_OF_BED_CODE
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|SWAP_EVENT_ID
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|TO_BASE_CLASS_CODE
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|USER_ID
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|XFER_EVENT_ID
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|XFER_IN_EVENT_ID
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|_SURROGATEKEY
emr|dbo|ALERT_ACTIONS,emr|dbo|ALERT_ACTIONS|ACTION_TAKEN_CODE
emr|dbo|ALERT_ACTIONS,emr|dbo|ALERT_ACTIONS|ALERT_ID
emr|dbo|ALERT_ACTIONS,emr|dbo|ALERT_ACTIONS|ALT_ENCOUNTER_ID
emr|dbo|ALERT_ACTIONS,emr|dbo|ALERT_ACTIONS|CM_CT_OWNER_ID
emr|dbo|ALERT_ACTIONS,emr|dbo|ALERT_ACTIONS|CONTACT_DATE
emr|dbo|ALERT_ACTIONS,emr|dbo|ALERT_ACTIONS|CONTACT_DATE_REAL
emr|dbo|ALERT_ACTIONS,emr|dbo|ALERT_ACTIONS|LINE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|ALERT_ALLERGEN_ID
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|ALERT_ALLERGY_ID
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|ALERT_MED_CLASS_ID
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|ALERT_ROOT_ALLER_ID
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|ALERT_TYPE_OVTIME_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|ALLERGY_LEVEL_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|ALLERGY_REPLACE_ID
